Formation;Nom anonymisé;Prénom anonymisé;Numéro;Genre;Date de naissance;Profil;Type établissement;Libellé établissement;Commune établissement;Département établissement;Pays établissement;Série;LV 1;LV 2
DUT RT;XXX2422;Yyy905;100252;M;17/03/2002;En Terminale;Lycée français;Lycée Antoine De Saint Exupery;Saint-Raphaël;83;France;S;Anglais;Espagnol
DUT GIM;XXX4025;Yyy321;100842;M;02/11/2002;En Terminale;Lycée français;Lycée Descartes;Tours;37;France;S;Anglais;Allemand
DUT RT;XXX7142;Yyy305;101368;M;09/12/2002;En Terminale;Lycée français;Lycée Boissy D'Anglas;Annonay;7;France;STI2D;Anglais;Allemand
DUT CS;XXX8268;Yyy469;101433;F;18/04/2001;En Terminale;Lycée français;Lycée Boissy D'Anglas;Annonay;7;France;ES;Anglais;Italien
DUT INFO;XXX1269;Yyy199;101587;M;24/03/2003;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT INFO;XXX3397;Yyy362;101590;M;23/01/2003;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Allemand
DUT INFO;XXX6915;Yyy852;101597;M;20/05/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT INFO;XXX1658;Yyy439;101610;M;13/11/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT RT;XXX7761;Yyy525;101610;M;13/11/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT RT;XXX9056;Yyy389;101616;M;20/04/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT GIM;XXX6535;Yyy700;101644;M;26/09/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT INFO;XXX1104;Yyy463;101645;M;22/08/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Allemand
DUT INFO;XXX2828;Yyy610;101657;M;04/02/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT INFO;XXX3495;Yyy631;101661;M;05/10/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Allemand
DUT GIM;XXX7425;Yyy283;101670;M;26/07/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Allemand
DUT RT;XXX2881;Yyy959;101704;M;10/10/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT INFO;XXX6017;Yyy249;101742;M;16/01/2001;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT INFO;XXX9224;Yyy863;101750;M;06/11/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT INFO;XXX1376;Yyy362;101755;F;12/03/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT RT;XXX2708;Yyy352;101755;F;12/03/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT CS;XXX3611;Yyy847;101767;F;26/05/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;ES;Anglais;Espagnol
DUT RT;XXX6419;Yyy297;101782;F;08/02/2001;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;STMG;Anglais;Espagnol
DUT CS;XXX3633;Yyy436;101832;F;24/05/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;STMG;Anglais;Allemand
DUT INFO;XXX5579;Yyy937;101856;M;30/01/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT INFO;XXX6247;Yyy834;101974;M;04/12/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Allemand
DUT RT;XXX5113;Yyy180;101998;M;08/03/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;S;Anglais;Espagnol
DUT CS;XXX7381;Yyy639;102012;F;27/04/2002;En Terminale;Lycée français;Lycée Marie Louise Dissard Françoise;Tournefeuille;31;France;ES;Anglais;Espagnol
DUT RT;XXX9214;Yyy797;102192;M;06/02/2002;En Terminale;Lycée français;Lycée George Sand;Domont;95;France;S;Anglais;Allemand
DUT INFO;XXX9073;Yyy633;102558;M;30/08/2002;En Terminale;Lycée français;Lycée des Graves;Gradignan;33;France;S;Anglais;Espagnol
DUT RT;XXX1102;Yyy493;102669;M;04/02/2002;En Terminale;Lycée français;Lycée des Graves;Gradignan;33;France;ES;Anglais;Espagnol
DUT GIM;XXX8207;Yyy907;102716;M;08/11/2002;En Terminale;Lycée français;Lycée des Graves;Gradignan;33;France;S;Anglais;Espagnol
DUT GIM;XXX8764;Yyy136;102757;M;11/05/2002;En Terminale;Lycée français;Lycée des Graves;Gradignan;33;France;S;Anglais;Allemand
